Code;Name;Start Date;End Date;Code client;Holder;Signatory name;Signatory Level;Status
0000231;E/2003/111 - ANNEX DRAWING PARTS 2015;20081105;20151231;56301;EUROCOPTER ESPANA;N/A;N/A;80
0000275;E/2003/111 _ A5(a) _ RFX METRIC 2009;20090201;20151231;56301;EUROCOPTER ESPANA;N/A;N/A;80
0000307;E/2003/111 _ A5 _ METRIC;20090201;20151231;56301;EUROCOPTER ESPANA;N/A;N/A;80
0000009;GAMESA SOL;20050101;20051231;56406;AERNNOVA AEROSPACE S.A;N/A;N/A;80
0000011;GAMESA UK;20050101;20051231;56406;AERNNOVA AEROSPACE S.A;N/A;N/A;80
0000013;GAMESA VDR;20050101;20051231;56406;AERNNOVA AEROSPACE S.A;N/A;N/A;80
0000175;EMBRAER-SUP0310-06;20080101;20081231;56406;AERNNOVA AEROSPACE S.A;N/A;N/A;80
0000223;EMBRAER-SUP0310-06;20080901;20081231;56406;AERNNOVA AEROSPACE S.A;N/A;N/A;80
0000252;EMBRAER-SUP0310-06;20080901;20110731;56406;AERNNOVA AEROSPACE S.A;N/A;N/A;80
0000197;SBA/LISI/00/8006/EPC - 4600001641 & 4600;20080101;20111231;56832;ALENIA AERMACCHI;N/A;N/A;80
0000211;SBA/LISI/00/8006/EPC;20080401;20091231;56832;ALENIA AERMACCHI;N/A;N/A;80
0000083;CONTRAT MTU 2006-2007;20060101;20071231;56835;MTU AERO ENGINES GMBH;N/A;N/A;80
0000086;CONTRAT MTU 2006-2010;20060101;20101231;56835;MTU AERO ENGINES GMBH;N/A;N/A;80
0000163;Contract MTU 2008-2010;20071126;20101231;56835;MTU AERO ENGINES GMBH;N/A;N/A;80
0000177;E/2003/111 - ANNEX A & A1;20080101;20151231;56845;EADS MAROC AVIATION;N/A;N/A;80
0000182;E/2003/111 - ANNEX A1 (Double Anneal);20080101;20081231;56845;EADS MAROC AVIATION;N/A;N/A;80
0000188;E/2003/111 - ANNEX A1 (Price Break);20080101;20091231;56845;EADS MAROC AVIATION;N/A;N/A;80
0000193;E/2003/111 - ANNEX A2 (Eurofast PN);20080101;20081231;56845;EADS MAROC AVIATION;N/A;N/A;80
0000244;E/2003/111 - ANNEX A & A1;20090101;20151231;56845;EADS MAROC AVIATION;N/A;N/A;80
0000285;E/2003/111 _ ANNEXE A1 (a) _ RFP3;20090212;20151231;56845;EADS MAROC AVIATION;N/A;N/A;80
0000293;E/2003/111 _ ANNEXE A1 (a) _ RFP3;20090212;20151231;56845;EADS MAROC AVIATION;N/A;N/A;80
0000227;SBA/LISI/00/8006/EPC;20080401;20091231;56854;AIRCRAFT SERVICES;N/A;N/A;80
0000021;GE Contrat vis 259;20050101;20051231;57149;CORBUS;N/A;N/A;80
0000022;GE ECROUS 362;20050101;20051231;57149;CORBUS;N/A;N/A;80
0000023;GE TORX 386;20050101;20051231;57149;CORBUS;N/A;N/A;80
0000091;GE 2006;20060101;20061231;57149;CORBUS;N/A;N/A;80
0000091;GE 2007;20070101;20071231;57149;CORBUS;N/A;N/A;80
0000091;GE 2008;20080101;20081231;57149;CORBUS;N/A;N/A;80
0000251;GE 2009;20090101;20111231;57149;CORBUS;N/A;N/A;80
0000024;PWA 261;20050101;20051231;57313;PRATT & WHITNEY USA;N/A;N/A;80
0000092;PWA 2006;20060101;20061231;57313;PRATT & WHITNEY USA;N/A;N/A;80
0000092;PWA 2007;20070101;20071231;57313;PRATT & WHITNEY USA;N/A;N/A;80
0000092;PWA 2008;20080101;20081231;57313;PRATT & WHITNEY USA;N/A;N/A;80
0000222;PWA 2009;20090101;20091231;57313;PRATT & WHITNEY USA;N/A;N/A;80
0000081;SABCA N° H.11F/0046.000.018;20060101;20081231;57760;SABCA;N/A;N/A;80
0000248;H.11F/0046.000.018;20090101;20121231;57760;SABCA;N/A;N/A;80
0000205;EMBRAER-SUP0310-06;20080101;20081231;57904;ALESTIS AEROSPACE MANUFACTURING S.L;N/A;N/A;80
0000225;EMBRAER-SUP0310-06;20080901;20081231;57904;ALESTIS AEROSPACE MANUFACTURING S.L;N/A;N/A;80
0000256;EMBRAER-SUP0310-06;20080901;20110731;57904;ALESTIS AEROSPACE MANUFACTURING S.L;N/A;N/A;80
0000314;CONTRAT SAFRAN;20090101;20091231;58042;SCHAUBLIN SA;N/A;N/A;80
0000017;BLAAER V31;20030703;20070701;58928;ANIXTER PENTACON (PWC);N/A;N/A;80
0000260;Gentleman agreement PWC business;20090101;20111231;58928;ANIXTER PENTACON (PWC);N/A;N/A;80
0000100;CONTRAT 4600000218;20050101;20071231;59019;WESCO AIRCRAFT (UK) LTD.;N/A;N/A;80
0000213;LTA-XAC-Z2007-27;20080409;20101231;59200;XAC GROUP IMPORT;N/A;N/A;80
0000322;AUB Test démarrage M3;20090101;20151231;331028;AIRBUS UK;N/A;N/A;80
0000324;Annexe 7 MOA;20090617;20121231;300045;SATAIR France;N/A;N/A;80
0000323;AQ-APR-007-2009 (2);20090325;20121231;200001;AERMACCHI;N/A;N/A;80
0000325;E/2003/111 - ANNEX A & A1;20090101;20151231;55152;PREMIUM AEROTEC GMBH AUGSBURG;N/A;N/A;80
0000326;E/2003/111 - Annex A;20090101;20151231;55165;PREMIUM AEROTEC GMBH VAREL;N/A;N/A;80
0000327;E/2003/111 - Annex A;20090101;20151231;55166;PREMIUM AEROTEC GMBH NORDENHAM;N/A;N/A;80
0000328;E/2003/111 - Annex A1;20090101;20151231;55165;PREMIUM AEROTEC GMBH VAREL;N/A;N/A;80
0000329;E/2003/111 - Annex A1;20090101;20151231;55166;PREMIUM AEROTEC GMBH NORDENHAM;N/A;N/A;80
0000330;EMBRAER-SUP0310-06;20080901;20110805;55176;AERNNOVA AEROSPACE S.A;N/A;N/A;80
0000331;AIP EUR APPENDIX 1;20080527;20110526;300005;ALA;N/A;N/A;80
0000332;E/2003/111 - ANNEX A2;20090717;20151231;331007;AIRBUS FRANCE;N/A;N/A;80
0000334;FAMAT 2010-2014 REFS.SNECMA;20091220;20141231;06221;FAMAT;N/A;N/A;20
0000333;Bombadier - Collars;20090801;20110926;300074;RUAG;N/A;N/A;80
0000335;E/2003/111 - ANNEX A2 (AF);20090717;20110322;331027;AIRBUS GERMANY;N/A;N/A;80
0000336;E/2003/111 - ANNEX A2 (AF);20090717;20200322;331041;AIRBUS SPAIN;N/A;N/A;80
0000337;E/2003/111 - ANNEX A2 (AF);20090717;20110322;331028;AIRBUS UK;N/A;N/A;80
0000338;WAE - LISI001 - AMENDT N°1;20090901;20121231;300051;WESCO EU;N/A;N/A;80
0000339;NEW SAFRAN CONTRACT 2010 - 2014 (WON);20090923;20141231;331037;SNECMA;N/A;N/A;80
0000340;NEW SAFRAN CONTRACT 2010 - 2014 (WON);20090923;20141231;331011;SNECMA SERVICE;N/A;N/A;80
0000341;NEW SAFRAN CONTRACT 2010 - 2014;20100101;20141231;331016;HISPANO SUIZA;N/A;N/A;80
0000362;921-CONTRAT SAFRAN 2010 2014-KEPT;20091220;20141231;331011;SNECMA SERVICE;N/A;N/A;80
0000350;E/2003/111 - ANNEX A & A1;20091201;20151231;55741;EADS-CASA, S.A.;N/A;N/A;80
0000363;920-NEW SAFRAN CONTRACT 2010-2014-WON;20091220;20141231;331037;SNECMA;N/A;N/A;80
0000344;SBA/LISI/00/8006/EPC (EFA);20091101;20111231;300006;BAE UK;N/A;N/A;80
0000345;SBA/LISI/00/8006/EPC (EFA);20091101;20111006;332029;ALENIA AIRBUS/EFA;N/A;N/A;80
0000346;SBA/LISI/00/8006/EPC (EFA);20091101;20111006;332041;EADS SPAIN;N/A;N/A;80
0000347;SBA/LISI/00/8006/EPC (EFA);20091101;20111006;300016;EADS GERMANY;N/A;N/A;80
0000348;SBA/LISI/00/8006/EPC (EFA);20091101;20111006;56854;AIRCRAFT SERVICES;N/A;N/A;80
0000349;SBA/LISI/00/8006/EPC (EFA);20091101;20111006;56832;ALENIA AERMACCHI;N/A;N/A;80
0000351;E/2003/111 - ANNEX A & A1;20091201;20151231;300054;MBDA;N/A;N/A;80
0000352;E/2003/111 - ANNEX A & A1;20091201;20151231;300016;EADS GERMANY;N/A;N/A;80
0000353;E/2003/111 - ANNEX A & A1;20091201;20151231;55152;PREMIUM AEROTEC GMBH AUGSBURG;N/A;N/A;80
0000354;E/2003/111 - ANNEX A & A1;20091201;20151231;334007;SOGERMA;N/A;N/A;80
0000355;E/2003/111 - ANNEX A & A1;20091201;20151231;56845;EADS MAROC AVIATION;N/A;N/A;80
0000356;E/2003/111 - ANNEX A & A1;20091201;20111231;333007;SOCATA;N/A;N/A;80
0000357;CONTRAT SNECMA PROP SOLIDE / LISI 2010 A;20091220;20141231;30007;SNECMA PROPULSION SOLIDE;N/A;N/A;80
0000358;SAFRAN 2010-2014 - SS TRAITANTS;20100101;20141231;300042;S/T SNECMA;N/A;N/A;20
0000359;920-CONTRAT SAFRAN 2010-2014 USD;20091220;20141231;331037;SNECMA;N/A;N/A;80
0000360;921-CONTRAT SAFRAN 2010-2014 USD;20091220;20141231;331011;SNECMA SERVICE;N/A;N/A;80
0000361;920-CONTRAT SAFRAN 2010 2014-KEPT;20091220;20141231;331037;SNECMA;N/A;N/A;80
